class,AATS4dv,C1SP2,C4SP3,NssCH2,NdsCH,NssssC,NdO,StCH,fragCpx,ZMIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA12,SlogP_VSA10,EState_VSA1,nRing,n6aHRing,nG12FRing,n9FaRing
0,2.655629139072848,1,0,10,0,0,0,0.0,88.09,46.583828420530224,-4.54792194585191,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,2.204243078029485,1,0,2,0,0,1,0.0,19.07,45.276027220991246,-5.05285326445581,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,2.7464788732394365,1,0,10,0,0,0,0.0,139.08,44.64706480370112,-3.2648383422409992,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,2.319672131147541,0,0,9,0,0,0,0.0,129.07,40.84165549958188,-4.676396402659695,14.884719196121816,0.0,0.0,0.0,3,0,0,0
0,2.6089577950043066,3,0,3,0,0,3,0.0,24.1,44.45002405574504,-2.1916320783090377,4.794537184071822,5.783244946364939,0.0,11.9386105759037,1,0,0,0
1,2.3870967741935485,1,0,12,0,0,0,0.0,85.08,49.31979394406585,-4.944001877911958,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,1.2586206896551724,0,0,18,0,0,0,0.0,121.08,81.36045299954385,-11.382605440637624,0.0,0.0,0.0,0.0,2,0,0,0
0,1.1773584905660377,0,0,21,0,0,0,0.0,124.06,92.18959294940322,-12.40414540044396,0.0,0.0,0.0,0.0,2,0,0,0
1,1.3475609756097562,2,0,20,0,0,2,0.0,145.08,90.09417442509844,-10.450947460597176,9.589074368143644,11.814359458703011,0.0,0.0,2,0,0,0
0,1.203125,0,0,20,0,0,0,0.0,121.06,89.03828359442679,-12.01712512079661,0.0,0.0,0.0,0.0,2,0,0,0
0,1.1532846715328466,0,0,22,0,0,0,0.0,127.06,95.40172290042436,-12.79078971682786,0.0,0.0,0.0,0.0,2,0,0,0
1,1.356164383561644,2,0,20,0,0,2,0.0,139.08,87.12155519491965,-11.146965247554224,9.589074368143644,11.814359458703011,0.0,0.0,2,0,0,0
0,0.5507246376811594,0,0,16,0,0,0,0.0,21.06,59.81033473826727,-5.923730587888549,0.0,0.0,0.0,0.0,0,0,0,0
1,2.6,0,0,4,0,0,0,0.0,79.02,29.42658036809309,-3.849428414744934,4.9839785209472085,0.0,5.687386274683562,0.0,3,1,1,0
0,1.450381679389313,2,0,20,0,0,2,0.0,133.08,85.92785589431227,-11.841719054462004,9.589074368143644,11.814359458703011,0.0,0.0,2,0,0,0
0,1.2307692307692308,0,0,19,0,0,0,0.0,118.06,85.95646231656,-11.629714527796136,0.0,0.0,0.0,0.0,2,0,0,0
0,5.7368421052631575,1,0,2,2,3,0,0.0,124.09,48.62564717155262,-3.999798199082484,0.0,5.879988336435371,26.34249028604892,35.80335448642697,3,1,1,0
0,2.76,4,0,2,1,1,1,0.0,18.09,29.72598682272364,-1.1835577219173945,10.114318268765572,5.538925252383345,0.0,5.538925252383345,1,0,0,0
1,4.078947368421052,1,0,2,2,2,0,0.0,109.06,34.25037744199389,-3.5310799183679094,0.0,5.879988336435371,13.17124514302446,23.20623434605748,3,1,1,0
1,2.333333333333333,1,0,2,2,1,1,0.0,94.03,29.42167394714033,-3.529510627120769,4.794537184071822,5.559266895052007,0.0,5.538925252383345,3,1,1,0
0,5.178082191780822,0,0,1,0,0,0,0.0,142.03,41.59218112864965,-4.665689749330856,0.0,0.0,5.687386274683562,0.0,4,1,1,0
0,2.2777777777777777,2,0,0,1,0,0,0.0,10.04,24.95161152526311,-1.1179406154990867,0.0,5.693927994848461,0.0,0.0,1,1,0,0
0,4.098360655737705,0,0,0,0,0,0,0.0,89.02,46.162616892269,-4.352142174082893,0.0,0.0,5.687386274683562,0.0,3,1,0,0
0,2.108527131782945,4,0,2,1,0,2,0.0,17.09,32.97702118278007,-0.647229142405324,0.0,10.023291153407584,0.0,10.023291153407584,1,0,0,0
0,3.497716894977169,4,0,3,1,0,2,0.0,17.09,30.931287419772715,-1.0683580072198635,0.0,0.0,0.0,9.837253136417502,1,0,0,0
0,4.105263157894737,1,0,2,2,2,0,0.0,109.06,34.25037744199389,-3.5310799183679094,0.0,5.879988336435371,13.17124514302446,17.633129815988212,3,1,1,0
1,4.361111111111111,0,0,1,0,0,0,0.0,135.02,41.9844900939939,-4.926812211088732,0.0,0.0,5.687386274683562,0.0,4,1,1,0
0,3.927710843373494,0,0,2,0,0,0,0.0,142.02,43.43616473554652,-5.20439840044758,0.0,0.0,5.687386274683562,0.0,4,1,1,0
0,4.228310502283105,0,0,1,0,0,0,0.0,142.03,42.87068340229787,-5.032369074311622,0.0,0.0,5.687386274683562,0.0,4,1,1,0
0,2.011494252873564,4,0,6,1,0,0,0.0,17.06,33.1430890036287,-1.069126725635389,4.899909730850478,0.0,0.0,0.0,2,0,0,0
